Name,Level,KillCount,Type,Date,Item,Drop_ID,Drop_Quantity,Drop_Price
Vorkath,732,7,NPC,4/22/2024 21:50,Superior dragon bones,22124,1,10141
Vorkath,732,7,NPC,4/22/2024 21:50,Superior dragon bones,22124,1,10141
Vorkath,732,7,NPC,4/22/2024 21:50,Blue dragonhide,1751,1,1435
Vorkath,732,7,NPC,4/22/2024 21:50,Blue dragonhide,1751,1,1435
Vorkath,732,7,NPC,4/22/2024 21:50,Rune longsword,1303,1,18395
Vorkath,732,7,NPC,4/22/2024 21:50,Rune longsword,1303,1,18395
Vorkath,732,7,NPC,4/22/2024 21:50,Red dragonhide,1750,23,1984
Vorkath,732,8,NPC,4/22/2024 21:57,Superior dragon bones,22124,1,10141
Vorkath,732,8,NPC,4/22/2024 21:57,Superior dragon bones,22124,1,10141
Vorkath,732,8,NPC,4/22/2024 21:57,Blue dragonhide,1751,1,1435
Vorkath,732,8,NPC,4/22/2024 21:57,Blue dragonhide,1751,1,1435
Vorkath,732,8,NPC,4/22/2024 21:57,Scaly blue dragonhide,27897,1,325
Vorkath,732,8,NPC,4/22/2024 21:57,Chaos rune,562,958,80
Vorkath,732,8,NPC,4/22/2024 21:57,Dragon arrowtips,11237,33,1263
Vorkath,732,9,NPC,4/22/2024 21:59,Superior dragon bones,22124,1,10165
Vorkath,732,9,NPC,4/22/2024 21:59,Superior dragon bones,22124,1,10165
Vorkath,732,9,NPC,4/22/2024 21:59,Blue dragonhide,1751,1,1458
Vorkath,732,9,NPC,4/22/2024 21:59,Blue dragonhide,1751,1,1458
Vorkath,732,9,NPC,4/22/2024 21:59,Manta ray,392,54,1697
Vorkath,732,9,NPC,4/22/2024 21:59,Dragon arrowtips,11237,29,1302
Vorkath,732,10,NPC,4/22/2024 22:05,Superior dragon bones,22124,1,10165
Vorkath,732,10,NPC,4/22/2024 22:05,Superior dragon bones,22124,1,10165
Vorkath,732,10,NPC,4/22/2024 22:05,Blue dragonhide,1751,1,1458
Vorkath,732,10,NPC,4/22/2024 22:05,Blue dragonhide,1751,1,1458
Vorkath,732,10,NPC,4/22/2024 22:05,Red dragonhide,1750,21,1974
Vorkath,732,10,NPC,4/22/2024 22:05,Manta ray,392,36,1697
Vorkath,732,11,NPC,4/22/2024 22:08,Superior dragon bones,22124,1,10165
Vorkath,732,11,NPC,4/22/2024 22:08,Superior dragon bones,22124,1,10165
Vorkath,732,11,NPC,4/22/2024 22:08,Blue dragonhide,1751,1,1458
Vorkath,732,11,NPC,4/22/2024 22:08,Blue dragonhide,1751,1,1458
Vorkath,732,11,NPC,4/22/2024 22:08,Dragon platelegs,4087,1,160712
Vorkath,732,11,NPC,4/22/2024 22:08,Steel arrow,886,150,22
Vorkath,732,12,NPC,4/22/2024 22:15,Superior dragon bones,22124,1,10165
Vorkath,732,12,NPC,4/22/2024 22:15,Superior dragon bones,22124,1,10165
Vorkath,732,12,NPC,4/22/2024 22:15,Blue dragonhide,1751,1,1458
Vorkath,732,12,NPC,4/22/2024 22:15,Blue dragonhide,1751,1,1458
